,sentiment,content
24321,anger,"@taylorswift13 Hello, yourself. Enjoy London. Watch out for the Hackneys. They're mental."
8563,anger,The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.
6497,anger,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo
8251,anger,MOtherfuck QW
527,anger,Working   But it's Fridaaaayyyyy
13041,anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
23045,anger,is downloading new fonts . again  http://plurk.com/p/rplkr
3909,anger,"@Greenwichlad Oh let me clarify,know lots of nice people who live there, but thought it always was a breeding ground 4 BNP"
3337,anger,@drakesizzle  If you don't want to come then don't come. JEEEEEZ.
32501,anger,"had a kickass day full of Seaworld, retarded 15 year old guys, and X-Men Origins. Win day?"
10727,anger,@egheitasean Which denomination? I'm at the library and everything's blocked.
