,sentiment,content
17391,empty,I had to unhook twitter from Facebook because all my Facebook cronies were complaining.
29783,empty,@Bethsybsb
35760,empty,@taraaverette You seem Cool
15378,empty,"aah, i'm tired. haven't chilled a minute today!"
7161,empty,"@radinov BAH, you'be made me all hungry now"
13042,empty,I want it BACK NOW!: http://bit.ly/PP1WZ
14225,empty,@hannybfirst wEe ArR SoWbUr i PrOmIsS. tHe StYoOpId FlYiNg ThInG hAzZuNt KuM OwT aGaNe. iTt Iz hYdInG sUmWaRe aNd LaRfFiNg aTt Us.
38174,empty,Thanks @PARKPLACEMTG @StopChronicPain @Kerrysherin @Health_Twit01
526,empty,wut do i do now????
15669,empty,"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work."
12848,empty,at panera for lunch  byyy myself  aww
8801,empty,at work doing website stuff with a slight fever and tiny headache
17007,empty,@MrsMcFlyGrimmy how was your day ? boredom stuck my head
36393,empty,will go out  oh yay me http://plurk.com/p/sv9lc
20882,empty,Searching for a place where I can migrate.
21521,empty,"@Jessthemediocre...living in my studio, sounds very important ;) oh Mildura is totally boring!! Mhhh...whatever!  byeeee"
16742,empty,@tatiiiiv me too Tatiiiii!!!
16858,empty,@ARMS1869 im a lady and ladies don't move couches. they direct where the couches go
9467,empty,"Jon &amp; Kate + 8 kids attracted a huge TV audience, tabloid headlines, and now a state labor investigation   http://tinyurl.com/l7zt72"
4493,empty,"has had to reboot her laptop to factory settings, losing EVERYTHING in the process."
23401,empty,http://twitpic.com/4jco5 - The Result of working the Green/Black fingers...
27000,empty,@sugarrae i thought you would win!  Fabulously40 have some bots on her side?
15389,empty,@lemonstarbursts  And it's only downhill from now until Labor Day!
33417,empty,Has finally taken a shower after much distraction from twitter and the bubble wrap off to read  and drink a smoothie
23952,empty,@Twinklybird Ace @ the exams!
417,empty,went to the beach and it started raining
39038,empty,@emiug how is your coding going?
6783,empty,the downfall about relaxing later is mad manual labor now...just finish cleaning the fridge..and now to fold clothes..house work blues
10775,empty,loads of insects are attacking me.. time to go inside
30197,empty,So bored... need more people for rsmv !!  jagex doesn't let u say RSMV unless its the first word u say in the sentence.. sad
9458,empty,Allergies suck... My eyes r even mor red than they were b4.  I think I'll stay inside 2day
11960,empty,Just came back from school.... Packing for my dad's house
16710,empty,I'm trying to find the driver for my Microsoft Lifecam VX-3000 Webcam and can't find it anywhere! anyone have any links?
22476,empty,"Hehe, wondered wtf star wars day was and why it was the top trending topic. Now I get it.  May the Fourth be with you, also."
8849,empty,When God created man i also believed he created a million people to get on ya tits for a laff
11929,empty,nothing
17741,empty,@Chris_pinkapple Not much on for the weekend here. Off to Knox shortly &amp; definitely must get into the garden. It's a wee bit neglected.
18662,empty,Sad babies make for angsty writing
17615,empty,look how @exotic @BADDESTnLA choke on this dick talks to me
17069,empty,@Elixabef I hear you   Any time earlier than 11am is just mean!
39689,empty,"right im off for a shower my little treasures, ill see you later on"
17012,empty,Midnight ice-cream weather! So damn bored
38176,empty,@Jessmsmell im seeing this guy 2moro arvo after skl cus he asked me to
12486,empty,@YoungQ  ahhhh it won't let me watch the video on my phone
13777,empty,@tom_pollard I have no denial for this because it is the fucking truth
22400,empty,"@cathjenkin when I see all the moms' on twitter and their tweets, I know its gonna be worth ir"
14514,empty,Work...work....work....
913,empty,I came with a q: &quot;any recommended hairdresser? U r full and they suggested me to others  &quot; His ego talked and I'm in d line
10967,empty,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.
8561,empty,new neighbors are moving in.... off to give my brazil presentation that i shouldve given on wed!!! but some people went overtime
11016,empty,Well. The jag just took a shit on my way home from training  I hope it's just the alternator.
38396,empty,Just got up with @Vinn0sx
2507,empty,Curse you breakfast gods....full bowl of cereal + not enough milk =
38130,empty,@Naina @dinno so ur name is also Naina
15465,empty,@gabigail87 aww :/ kk I need to do a huge shopping trip at joshstore to get you also a joshmobile.. pft.
25618,empty,@OhSweetNibblets ok thanks  do you like my new pic? http://twitpic.com/4jewc
27176,empty,@klm I knew that. I attended an innovation seminar at Picnic 2007.
16788,empty,"@alikat89 Awww, that sucks. Maybe it's on Youtube somewhere?"
22411,empty,@godskiwi lol  I'm sure it would be the most kick azz version we've ever heard!
1763,empty,"@Lacrimae Pfft, there you go with the logic again!"
23795,empty,@palinn So Palin got the new haircut
18787,empty,you can't please everybody.  http://plurk.com/p/x32rz
17271,empty,Ugh sittin at work waiting for the carpets to be cleaned.  I was suppose to be out by 7
16131,empty,"@Rozrad: That was a parking meter, not a streetlight, wasn't it?"
5640,empty,@annakayh your not in school
15884,empty,@marykeegin I've been here since 3 and i'm here for 8 more hours tomorrow
26690,empty,says aw byebye  will pspPlurk later  http://plurk.com/p/rqy0y
799,empty,"says morning everyone, off to work in 10 min's  http://plurk.com/p/wxom8"
29677,empty,@KenRamirez Hi Ken ... checking in quickly and checking back out. Will be around all day tomorrow tho if u need something
35773,empty,"@trendscaping Check and check!   And yes, I did (and am)!"
20675,empty,@prwebmobilenews Looking for a new SMS sending solution? http://promotion.itagg.com Get ï¿½6 FREE SMS with every iTAGG!
10944,empty,gotta do my ewrt outline then tennis then work.. i need more time
34737,empty,@Infidel007 people ask a lot.. and plus i thought id contribute to a SYKES to the trending topics
