,sentiment,content
24937,fun,@shortyyyy Aww how cute! You'd love my bathroom  http://twitpic.com/4jez4
25537,fun,2 more days before the big conference: Central-Eastern Europe &amp; Caspian Scout Group Meeting... it is almost too long for twitter
37173,fun,"@iamTAYON I would if I was drivin :\ hahaha. but get me a Carol C. Special, yeah?"
38372,fun,@caitiejayne ok sick which date suits u they are thursday night friday night and sat night i think laast 3 nights get in quick
34266,fun,sweet spice girls sing along w good friends
23549,fun,pretty fun way to write a resignation  http://www.farbs.org/Message.html
6186,fun,@BADnurse09 that's great! i was never so good at the jump roping...
4856,fun,@jesssicababesss  how unreall  http://twitpic.com/66nvm
35243,fun,"@Toongen before he could do it. So, so sad. You should read it"
25111,fun,@BMartha hello there!
35432,fun,i have a whole day planned for my mom today that i know she will love!
29539,fun,@heatherjacobs indeed! we are trying to get it in the Trending topics for the fun of it  all Some Twilighters idea!
37872,fun,lookin forward to jam with DJ Kimosave on the 16th @ The Loft
37569,fun,gonna walk around for an hour now :I but I'm totally motivated! Wahahaha
37770,fun,"@lancearmstrong is that like Planes, Trains, and Automobiles?  Best of luck Juan Pelota."
39094,fun,@TheLakersNation Game 3 today. Oh YA.
32339,fun,@stefanie504 She must have a very adwancrd sense of humor!  That's funny
28832,fun,is learning how to play Waiting for Love by P!nk on acustic guitar!  epic
27928,fun,Back from AOT last lec.. Alot of question marks on my head.. But thank God for all the tips.. Should be able to pull tru
24840,fun,"@fatbellybella morning erikah, how are u? Here start working about a song on my town, always a challenge"
33390,fun,Waiting to go to bed. Had a great weekend
29793,fun,"I wish I knew how to play an instrument. Lessons for Menace and Missy Moo, for sure. Piano? Cello? Bass? Whatever they want"
1816,fun,@amyypee LOL i know! i only get to read it sometimes though cos my dad always chucks it out before he gets home
34251,fun,Going to Newtown soon. (Y)
23180,fun,"I uploaded my  random fandom trailer to youtube, check it out in here. It's also in HD  http://tinyurl.com/d5oyfl"
34968,fun,"@MOAM66 I love old school horror movies more, I got Elvira tattooed on my back"
8221,fun,I just vacuumed my entire house three times. Screw all vacuums!!
34975,fun,@andyclemmensen haha well then maybe u shouldn't be so weak  hehe jks  xx
35878,fun,Hence the smiley face.  ha ha ha ha. Lol yeah i'm hong to be tired as fuck tomorrow. But guess what i do not care.
29449,fun,@JonathanRKnight I am jealous...Ur koi fish are getting ur attention &amp; I'm not.....lmao   I'm kidding!!
3998,fun,Ulcer the Musical! It's ulcer-rific! uls-tacular?! Stomach bleeding fun for the whole family!! (apparently even two drinks is a no no)
37086,fun,@JessMcFlyxxx yeaahh; punch her!  haha. xx
10641,fun,"@Octo77 staying in, hve June exams 4 docent training class ,need to study  , we hvng zombie movie sunday aftrn, u both shld come over!"
29284,fun,is excited!  http://plurk.com/p/stk04
26045,fun,Thinking I'm super excited about this week!
996,fun,must clear out my DVR... getting rid of it tomorrw.
10514,fun,Speedbumps suck when u gotta piss!!
3391,fun,"Just found out my kitty isn't pregnant  its a good thing though, we are going to adopt one instead"
3322,fun,What a beautiful day! Going to edit Lisa Maxwell interview from her last day at The Bill now. Shame I can't see my laptop screen outside
39169,fun,@ansje_44 Thanks!! It was a bit out of my comfort zone but it was fun
13570,fun,Leaving L.A.  but had so much fun!
29412,fun,@stkulp lol. your tweets are always fun to follow  Never a dull moment with the Kulps!
20590,fun,@miss_tattoo Hey girl. I'm a new follower - I think it's awesome you've gotten the chance to get so close to Donnie. Very cool!!
20932,fun,"@robbcox that made me laugh.  Sorry Grets, but you are not going to the Pool Room."
2854,fun,I wanna see the Jonas Brothers in concert..
19446,fun,@Anthony_y_Tony I had Pad Thai 3 times last night  ragoons LOL yumb
4059,fun,@DJstweet I know... It was just a joke... all in good fun...  some people get my humor &amp; some don't...
33605,fun,@mileycyrus YOU GAVE A GOOD SPEECH AT THE BREAST CANCER FOR REVLON FOR WOMEN TODAY
33940,fun,@enobytes  drank a 2003 I guess that doesnt count?
27168,fun,@shay1988 lol same here....wish there was a way to microsize everything...lol
35112,fun,"homee from wango tango, i had fun  really tired now. wrapping moms present and passing out. &lt;3"
30074,fun,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND
39870,fun,"@exhilarating haha, not always, just a 2-day-trip, for a friend. But I've been here some times. That's why I know basic Japanese"
10191,fun,"@MelissaPan aww yeah, it's more fun revising with others but you get distracted easier &gt;.&lt; yeah I'm tired, revising history"
24021,fun,"Morning everyone! Going to a gig now, then a run. Update you all later"
35900,fun,Is pretty hammered drunk! Props to me! Two nights in a row!!!
35074,fun,"@conpcom too many Germï¿½n rodrï¿½guez's results. Which one are you?  I mean, how do you look like in your profile picture?"
27167,fun,@m_jonas101 WOW they're totally amazing and they're more than awesome
28189,fun,why me? i am about to read another ecology book for two hours. its all good fun today
35814,fun,@yongfook  ack ~ of course i'm a person! but i think @alaskamiller knows that
16993,fun,@xoxo_emily  i wish i was there to hear that!
2919,fun,"All alone in this old house again.  Thanks for the net which keeps me alive and kicking! Whoever invented the net, i wanna kiss your hair!"
31712,fun,had a nice time with her little sister...baby is all grown up
15129,fun,http://twitpic.com/67ljj - As if teenagers need any more encouragement
31780,fun,recovering from being sick ... anyone want to bring me soup?
15757,fun,@megbc OMG!!!!! 17???? wow. I'm the old one...
2232,fun,@Knightpkf Yay! Thank you.. Feels like ur yelling at us   LOL
16997,fun,"Rehearsal is done  we had SO MUCH FUUN. hide&amp;seek tag and we learned BOMB DANCES , going home and doing hw maybe!"
37274,fun,@pranaydewan thanku  cooking is simple but the law is- u hve to have fun while u make it
32642,fun,I'm going to try &amp; get some sleep. I got work mostly all day &amp; I'm training for bakery also. Glammyyy crocker on deck. Lmao. Text or call
14010,fun,i am SOOO mad...yesterday and today...SUCKED!!!so much!
24364,fun,@duskyazure yeah that sounds more sensible. thought you had a heston bleumenthal moment of genius somehow!
8146,fun,@siamusic  as long as you have someone to make out with    lol
36912,fun,I am listening to the music of Super Juniors of Korea. I so like the way they sing and dance. I hope someday i can meet them.
30939,fun,perfect night in nj.
15537,fun,"@oakridgeboys Think these little youtube's are cool!! Prayers, my dad admitted to hosp. this am, n/sure what problem is yet, maybe heart"
38112,fun,"@shiraabel going through your tweets right now, probably missed all the good ones in the last 4 hours"
20500,fun,@thakkar I knw maan! i was gonna say the same thing. We both would become omelettes and others would become chapathis
5992,fun,has two tickets to Amadou and Miriam for Tue. June 2 that I can't use  $25 each to anyone who wants 'em. That's face value. Should be good
33651,fun,@stmako Yup. Most of my hacks are all for fun  Here's a quick video I made of it. I'll follow up when it's done.  http://bit.ly/3xm7D
39722,fun,"look up our youtube JessAndNicoleMusic, we are new, leave comments and subscribe  thankyou x"
8131,fun,ok... finished all the Mikados  Should shut up now! lol
27697,fun,Going to workout + swin... fun
16120,fun,I'm SO thinking about skippin out to NY in the morning. . . but all of my plans were for tonight  well . . . most of them anyway.
2328,fun,Planning a road trip down to San Diego- With a detour into Vegas to celebrate my birthday! Too bad it's 7 wks away  I want to go now!
5500,fun,@CMiget That's always fun to clean up
35279,fun,"@David_Kaufer Well, I am crossing my fingers!  We have another year so, lots of hope in my heart! We will see! Thx! G'night!"
