,Correct??,sentiment,content
5131,,hate,Infamous should have arrived today. But it didn't...
7251,yes,hate,God I HATE scary movies. They are not fun at all. I'm such a wimpy.
14620,,hate,@caniszczyk Agreed! Though Eclipse apps hinder collecting the heap dump by catching OOME. Had to muck about in JConsole
8473,yes,hate,ScREW MY PHONE. ITS BROKEN. DONT BOTHER TEXTING.
35921,,hate,"@kryanth heh, you seem to have a complex about your iPhone jealousy. This self-denial is harmful! Just let it out."
13817,,hate,I have had to yield my computer to the Webkinz Fan Club...
16644,,hate,Windows updates suck. There are so freaking many of them.
12256,yes,hate,"Ugh, i hate waiting in airports. I couldn't find a seat near an outlet either."
4029,,hate,@KinanLW I live in the Philippines. &gt;.&lt; and honestly i wanna live somewhere with snow!!
17312,,hate,I have had the William Shatner version of Rocket Man in my head for 3 days now. It's fucking distracting
18739,,hate,o damn i just accidentally listened to rick ross
21764,yes,hate,via @uhmmm: Christopher Moore &quot;You Suck&quot; - hmm tja.. sucks
16642,,hate,Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this damn night shift........
31200,,hate,@mahmood *cough* star trek *cough*
8270,,hate,Shit. My friend's in such a state and I don't know how to help him. Nothing I say seems to be helping and I wish I knew what to say
14851,yes,hate,its raining! boo
4180,,hate,Seems like everyone I know is asking for computer help...   kill me now
17013,,hate,"I'm so sick, it's ridiculous."
5988,,hate,i have geographie next  and I HATE IT!!!!!!!
17156,,hate,Struggling...selfishness and jealousy doesn't get you any further in life... ohh myyy
28053,,hate,Watching my girlfriend get out the showe  with her lime green towel .. IM BAD!!!!   Mohawk Kidd
5793,,hate,@Cheapflights_uk  o2 - train from Bristol to London. It's terrible - and no wifi
1813,,hate,woke up from bad dream.  grrrr
27575,,hate,@IrvdaRealdeal: I will press that ignore button
8478,,hate,"I want to shoot Viva Hate... this is only the second time since I got my new camera I've had a chance, and the other was pitch black"
8525,,hate,at f***** work  .... want somebody to come ???
3490,,hate,sick of having constant bad dreams  grr
17338,,hate,"@Spidersamm ohh yeahh (: i'm probs gonna be a loner to start with, thanks to the person i was gonna go with be a bitch"
12087,,hate,#BGT  Piers shouldn't have buzzed when the little girls were singing
1289,,hate,But why do I have to spend it in the office
16350,,hate,"Musically, these headphones are awesome. For staying in my ear... not so good."
29639,,hate,@official_flo well thats not nice... hope ur all good now
5859,,hate,just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!
20780,,hate,@bridgetmcmanus go into an anti-gravity chamber then you can tell gravity to suck it.
14316,,hate,I think the UPS web site hates me now. Still no Brewing supply package.  Held hostage at work by slow UPS delivery
10175,,hate,Hairdye patch test has just smeared all over my WHITE duvet cover  fucking cunts. &lt;3
13714,,hate,@simplyvanessa why you never answer me..  wath i say to you
7272,,hate,@celticfish this is a travesty
11259,,hate,ugh! nothing to do in the valley  Seriously gotta move out of here!!!
13957,,hate,I was waitin' so many new and good songs about the end but I didnt like it so much
