,sentiment,content
34450,love,Happy Mothers Day  Breakfast With The Fam &lt;33
31140,love,"@chriskoon aw, sure thing  their in my thoughts and prayers."
20486,love,@Editorables Haha.. Hey you should check out @NatHistoryWhale  Love her/his tweets
38075,love,wishes Happy mother's day to all mothers!!!
24431,love,Happy six months for me and her
36418,love,"@PerryMarshall  I was seeing only one side of it, but it looked interesting.  And deep."
35324,love,"@Tacquira anytime love..you looked beautiful! Next time your in nyc, hopefully we can link up! Enjoy your evening"
39059,love,"Hope all the Mum's out there had a Mother's Day with love, close family &amp; friends."
22025,love,@PokerNostra Indeed. Have a nice week!
27312,love,@DonDivaWear  Thank you!
31370,love,@nicksantino i love youuuuu nick santino! thirteen dayssss
33475,love,"@vmahmud I am at my office now, dude. yeah, get one!!! come on, let's go live! geez, all u need is time to practice. U'll get used to it"
29637,love,"@jtimberlake Good luck whit the show tonite man, ill be watching"
30550,love,"@theoreo i don't want to do anything specific, i just want to see you and puppy!"
9160,love,"@cocoacast I need to move to NY, SanFran, or Seattle to get worth-a-crap internet speeds"
29408,love,@johnfishlock thanks! I love a good bargain.
33518,love,"Happy Mother's Day to everyone's mothers, mothers-to-be, grandmothers, great grandmothers...All the WOMEN! I salute you all"
30040,love,listening to ECHO by Gorilla Zoe ahh love that song
37763,love,Got a Saturdays framed signed foto last night  and a Valentino rossi 1 aswell  eee what a night
23323,love,@Darcevarchy Re novel - will keep you posted
35574,love,@princesssuperc you were amazing on snl!! loved it!
32883,love,"@ByDezin: G'night twitterverse, much twitter luv to you all  ? http://blip.fm/~5yvnd"
9080,love,@Caroljs Warren has just died.. hannah has been killed.. and I'm gutted!!! I love warren (even if he is nasty!!)
30678,love,"mmmmmm, late night Brusters ice cream! om nom nom nom"
28959,love,@manu_preet haha one of the many reasons I love you
25252,love,@melmcmahon I have a great house to sell you!   Comes complete with a riding mower!!
37066,love,"@Holly59 you certainly can, and good morning to you"
30433,love,"http://twitpic.com/4w8l1 - Haaha, my bangs are kinda long..? oops"
35897,love,"GoodMorning, Hope Everyone Has A Beautiful Day Today  x"
31554,love,@wordcharmer FUZE was giving away capes at Komen's Race for the Cure today! And I'd always love a hug from you hun!
29771,love,i can't stop listening to @Jonasbrothers new single! (paranoid) it's so amazing. i love them.
22299,love,@Fran_v  haha i was in your boat yesterday.. you'll pick it up in no time
36743,love,@AppViz Problems seem to be fixed now! Thank you!
20498,love,@deepbluesealove Yeah it was great to be outside without rain/snow &amp; cold air! Love the sunny days
30980,love,@OklahomaStar Good luck 2 u and the babies
32374,love,"Good night everybody, i love u Phillip! XO"
26875,love,@kayenchante http://twitpic.com/4j6kc - man i love your shelves! way to go diy diva!
5175,love,"@katismonster i wnt there yesterday!  wish u could go with me someday u,u LOOVE YA &lt;3"
27815,love,"@SuzeBoozey LOL good to know the time in LA, it's a 9h time difference ... @gorjess1 good morning to ya"
26486,love,hurray twin girls born on this beautiful May day
21823,love,@yojibee haha  I need to get in better shape first.. I have cageball on thursdays == me dead on sofa the whole evening
25255,love,@filmfinancier Cowboy westerns...haven't seen those in a while. good luck
14191,love,@RetroRewind Something 2 get your attention 2 get Sexify My Love played http://twitpic.com/67i82 What? It worked last time! No $ 2 bribe
20588,love,@princessmargo We saw that in none 3D - the baddie's the best
28865,love,@kyladreams aw you're the shit  thanks so much for the twitter loveeee. i appreciate every last drop
21698,love,"Special mention for the new Mean Girl @LemonsAreSour... welcome her! &amp; if you're not already, FOLLOW HER!! Night"
35990,love,"[Dashboard - Modest Mouse] First Modest Mouse blip! Oyay, not bad.  ? http://blip.fm/~5z309"
38820,love,Happy Mother's day !!!! Show some love to your Beautiful and Amazing Mom!!  &lt;3
21325,love,listening to Lily Allen's last album - it's quite good
28866,love,"Love story on loop for the past 30 minutes. I love this song.. It makes me happy, like this!"
27747,love,wow...you leave facebook alone for the weekend and get 60 new notifications. WHEW!
34568,love,@ztnewetnorb haha me either but like ive always loved hilary  shes the girl id turn gay for  haha
32455,love,"Oh and PS. Since it is already 12:30, I should probably say &quot;Happy Mother's Day&quot; to my Mom and all the mothers out there!"
3593,love,@CristaltheGreat  ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya
34744,love,@alyssacalderon  I love you too! I'm kinds reading. But you can call if you'd like
21905,love,@nirajgoa Oh! Don't you just love these Vodafone series of Ads ... The best picturisation ever
32338,love,@JonathanRKnight thank u sweetie! Can't wait to set sail with u next week
39313,love,@ModelSupplies thank you for your comment
32653,love,"Okay, seriously. you're all going to have to forgive me while I gush like a little fangirl for a few tweets"
25153,love,when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street
33100,love,"@propa_gandhi awww, thanks, Brad. hahaha that actually made me laugh out loud    LBD."
32834,love,"It seems my grandmother has found a way to break a pipe in her house, going to go there now and fix it, she is such a blur woman"
38279,love,happy mother's day mom. love you always
25118,love,"@WendyandJay Here we are!  Unofficially, of course, but we are providing all the info you could want for the Geelong Football Club!"
12654,love,awwww!  i love simon being bossy &quot;we'll find the time somewhere&quot;
28486,love,@solangeknowles Nice!!!!!!!! I WILL be there
20535,love,"@davidalexanderm fantastic, love all things Krautrock"
34464,love,"ugh my head, when will all the headaches stop. anyways, i love my life right now, i couldn't ask for anything more. i love being happy"
17474,love,I love to jazzercise with Mrs. Underwood. I wish she was my chaperone.
