,sentiment,content
39352,neutral,"@sosolid2k peanut :o, cute name  lol get another turtle and call it jelly :p, if i get a pet i'll call it cabbage XD lolol"
28127,neutral,Day of writing
20185,neutral,"Stoppped following ama, i really need a clean break... on another note, kate is being super nice right now  Off to work"
7776,neutral,Had a dream I brought @mandykmusic and @keat to kings island. It was pretty sweet. Bummed they're in poughkeepsie 24 hours before me
27517,neutral,"is filling out FMLA forms, soccer &amp; t-ball forms and working, of course."
24890,neutral,i am back
4795,neutral,@mimisaurusrex i know... I don't want to be left in our home by myself during the weekend...
16515,neutral,@chelseychapman that's a long time ! Well then txt me !  xx
34977,neutral,@poetic_violence heyyyy babyy
27695,neutral,@RobertPattz Bonjour.. Did you sleep well?
37512,neutral,@hinessight she still got it going on!
19494,neutral,Def isn't. I don't even feel like me without a pic next to my tweet.
18468,neutral,@Amalari  I do not mean to laugh but a little giggle did come out - sorry
13600,neutral,I get the feeling @kris0614 is going to make me wait until I get home to tell me I'm denied vittles from BWW.
27869,neutral,Inspired to blog about something inspirational. Haha.
7378,neutral,@MissLaSheenaJ yes I am....I have r more hours to go
37078,neutral,k ladies and gents...time for us to go ni ni...trishy and i will tweet at you lata...peace
5672,neutral,i hope my morning show doesn't get cancelled!
30874,neutral,@patricklanglois http://twitpic.com/4w52z - Patrick should come here and say hi!
21161,neutral,says just passed by to say hi  busy with movie task from school =. = http://plurk.com/p/rozcz
25177,neutral,My 11y/o daughter and I have just had the kind of argument I don't mind having - over who loves the other more
25373,neutral,"@MadHat76 Or maybe I joined you in denial. Either way, it's the best way to deal with Monday."
22538,neutral,@tomfelton http://twitpic.com/4jam0 - better lighting would have enhanced the photo... nice angle though...
33396,neutral,FREE UNLIMITED RINGTONES!!! - http://tinyurl.com/freeringring - USA ONLY - Awesome 4 iphone
10142,neutral,Red Rock for lunch with Colin. @JKearl and @euphor couldn't come.  IPA Junior freshly made! Yum yum yum.
24414,neutral,MY first pos
