,sentiment,content
5316,sadness,@silenceiseasy no no no lol I cut my bangs like Kate Hudson in bride wars a few months ago and it was super cute. Looks diff this time
1550,sadness,"@Meikah Hala, I do not know that one.  Shame on me."
15591,sadness,"@Japumpy I need botox work on the lips if I'm going to change my name to Angelina Jolie, but it's a thought! Sad though about the racism"
6581,sadness,"@morgret Probably not, kinda expensive and we have to work. Most people have off weekends, we work."
10420,sadness,ps it's rainging
9179,sadness,Ready for this saddenning depressing dullful upsetting dreadful weekend.
29859,sadness,"Work, work, work and why did I get so tired all of a sudden. @PaulAros , nicole told me you say 'Hi' aww she was so enthusiastic  hi paul"
28969,sadness,im joining twitter  lol
351,sadness,Have to go to the dreaded DMV tomorrow
11396,sadness,"Wanted to take a photo of the storm, but misplaced my camera!"
6711,sadness,@AC_1 welcome to the twitter world Andrew! tell david to have a twitter too haha just kiddin' i know he doesn't want to have one.. booo..
9276,sadness,Rose City Sirens were uber cool last night!  Wish I could have stayed longer
13030,sadness,@Myke329 yooo myyyyye bust how I'm sick tooo... Just shoot me.  Long night tonight.
236,sadness,Up late with nothin 2 do.....
2110,sadness,SF felt WAY too intense for me tonight. Hope that doesn't keep up. Upset with myself for not hanging with @fascinated and pearl
7531,sadness,@meerasapra seriously.. it used to spend most of the time in my house..
30795,sadness,Arrested in the hotel
14695,sadness,@LisaTayl My stay was great! BUT my mother gave me the cold/flu before I left and I still have a cough...
33466,sadness,Thank you all for your incredible support and encouragement-it means so much!! You constantly bless me &amp; I am thankful for you!!
6337,sadness,@Nic0pic0 Lots of things Nico. Gud news: I have a job Bad news: Its in the middle of nowhere. Got my phone 4 twitter but cnt play videos.
6755,sadness,moving back home today. pro: obnoxiously closer to @thom1937 con: no more mpls runs/excursions for at least a year.
5469,sadness,"@cheetham Alas, we can't broadcast the lunches as we have no bandwidth in those rooms"
16783,sadness,@kirkfranklin @therealmarymary yall my auntie jus got n a bad car accident...pls pray with me 4 God's will 2 b done...
8688,sadness,@lilvanillafrop that's not funny
14080,sadness,I need to relocate to the west coast.. This weather here is killin me!!!
30295,sadness,@TennyDesign Rogï¿½rio Minotouro will fight now!
3139,sadness,"@ankurb english screwed up my overall percentage in X, in XII again and probably in adm tests too. shit happens."
37291,sadness,Deathstar destroys Starship Enterprice http://bit.ly/2agcTh Can't get enough of this video  #starwars #startrek
18518,sadness,lost some $ at work....nt happy right now    --SLOANSTER--
17726,sadness,Not in front of the tv  wats the score an inning??
3686,sadness,"Dagnamit, latest power twitter update is pants - no clickable links"
8568,sadness,My poor poor mouth
1112,sadness,"wants to listen to musiq soulchild, but it is not on the iPod"
328,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
11935,sadness,"@zacofficial  i don't have twitter on my phone, it's sad"
14144,sadness,Just got to work. Only today and three days left.  my heart is breaking.
5378,sadness,is in the costume shop cleaning and STARVING. Bring me food???
3884,sadness,booo Dario let TK get a hair cut
15666,sadness,@kelleyviolet That sucks!    It's thundering here.  I'm getting ready to shut down.
17133,sadness,Soooo bummed I'm missing the blockparty again! Haven't been able to get the app to listen on my iPhone!!
7657,sadness,"so much for a day off- I've been on my feet, all over the place, all day!"
12467,sadness,@gailmoscoso oo noo thats not good
10044,sadness,"@Knownhuman damn - that's sad, then... I haven't heard the new one yet. Sounds like I've been spared a tragedy."
6033,sadness,@jodywhitesides So sorry I missed it!
6917,sadness,sooo tired of this cubicle
2054,sadness,if not impossible
10799,sadness,have yet to start this paper due tonight. i have no motivation
9255,sadness,@memphianmallory Too traumatic to even discuss and none of yall are here!!! Everyone has left for the weekend.
758,sadness,@IvanaE i love it to.. but i knw there gna cut stuff out on tv
17196,sadness,hey guys y did the sun make my day gloomy?
2029,sadness,"hmm. I'm disappointed. I made 2 servings, and I am only able to enjoy one because my stomach is now full  wishing I had company to help."
8057,sadness,I've been offered Fred on loan but I has no moniiieeeess...
13324,sadness,@shabooty are being douchie? lol...thats hilarious man. i have a headache from the meeting.
59,sadness,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
16785,sadness,I'm so hungry
9681,sadness,@sianhughes_ oh god i just watched it to!! did claire escape? AGAIN!!! it was really quite sad
16442,sadness,@PrettyGrl_Annie I can't  I'm goin outta twn 2night. Sorrrryyy
2438,sadness,@jessiimiica I am like the most saddest person on jtv right now because you are not on
9076,sadness,"@dan87 where have you been, child? i miss you, we haven't msned in days!"
7865,sadness,@i_am_umlaut oh no!  i'm very sorry to hear
3659,sadness,"@Ste1987 Feel your pain with the hayfever - forgot to take mine yesterday, again."
19807,sadness,Its so windy and raining harder then the day before today   bye bye if the power gos out
16009,sadness,@justkaty guess I missed out on more than beer and a good time
5487,sadness,@deadlyknitshade  OOh but you soon get to meet the dung mice!!
4700,sadness,Just started raining in earnest... guess golf is off for today...
10015,sadness,@Elleipein aww honey I'm sorry
12712,sadness,@coollike  the cokies arnt real imaginary will hav to do mmmmmmmmmmmm cookie...
11231,sadness,just watched UP in 3d - that movie is so beautiful but so sad at the same time
1531,sadness,Only 1 tweet in the last 24 hours?  Nobody likes my tweetboard
18226,sadness,@marsacademy *HUGS you*  awwww......i'm sorry you are feeling sad E!
25365,sadness,"@podagraph Wait a min, u pretty much home til u jump the pond? I have 1 wk 2 go. If I could find a cheap flt  It's a thought, haha."
17390,sadness,@cecamy it's nto as good
7888,sadness,bout to go to work
5736,sadness,"I was so close into entering Pogue 's book today &quot; World according to twitter&quot; , yet now I seem so far.!!!!!!!!!!!!"
38236,sadness,@shortword ah cool yeah i can see that . really handy thanks
19878,sadness,"Friday Night Magic last night, I lost so bad  I suck at draft"
13886,sadness,"@nova_caine I saw it, it made me sad"
3186,sadness,is way too sleepy to be awake
11071,sadness,crashing from my WI high...missing mayfield
11860,sadness,"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already"
34030,sadness,"@DawnRichard Awww, that's nice.  You both make a really beautiful couple, you balance each other."
5874,sadness,what am I going to do without my @brandinmusic?!  SKYPE! haha
11650,sadness,This sars has really got me down.
8631,sadness,"@ESPNCommunityEd Don't forget Nash, how disappointing as a Suns fan"
18817,sadness,Waiting for the Denver game to come on.. but i dont think their gonna win it  Lakers suck lol :p
13618,sadness,"@Agarcia1097 y r u so defensive on the bus??!!!?? Being mean to me, you make me sad!!!"
980,sadness,@sfannah Ahhhhh  Well at least I'm up to!
15754,sadness,damn sunburn hurting  jack whitehall mmmmm
13776,sadness,I already miss my Mohawk.
18630,sadness,"@TheStoryStarts nothing aimed at you, just joining in...sorry"
13680,sadness,@johnhensel hate u....  I have 2 wait one week to see it cuz here (Puerto Rico) is still coming soon....
994,sadness,"@rscheuer sorry, is only in spanish for the moment"
27526,sadness,@jaymiealyson i mean give. lol with a finger! then crash her car! lol jk. thats bad. just ignore her
9761,sadness,at least 3 more days
16085,sadness,One of the most random phone calls ever. My god kill me now.
19350,sadness,"@Mr_Kimbalicious you can have the milk i have, i only have that here to drink  i think thats whats making me feel sick"
676,sadness,I didn't get a callback for the play I cried...  oh well I guess it's back to being a techie..
11197,sadness,@sweet_pea00 darn  i will think of you on our journey so it's like you are really there
13741,sadness,I am sucking with the abbreviation today. Sorry  My sentences look like my eight year old is typing them. lol
8566,sadness,Hi ho its off to work i go again
39651,sadness,@codelust @prolificd caught me at lunch today... you were correct of he stalking me
26056,sadness,"@Stormb441 not in this part of Surrey either, feeling quite a bit nippy I must say. Afternoon to you"
4857,sadness,Traffic jams are rubbish. Anyone know what's going on on the A48 between Cowbridge and Cardiff? We're stuck both directions
3324,sadness,@iamdiddy it is so sad that me and my roommate fry chicken just about every night @ 330 4. We just finished tonight's batch
13270,sadness,"trying to straighten my hair, but it's too effing hot in here. also, i need food"
10966,sadness,has a headaaaaaaaaaaaache
15959,sadness,is about to go to gymnastics! my last day with this class!
6953,sadness,It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters
13261,sadness,I wish I was laying in the sand listening to the waves crash against the shore!!!
4997,sadness,@YankeeGirl20 besides I haven't had strep for like 10 years because of that reason. I'm more tired than anything else
4050,sadness,"i've been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw"
36375,sadness,and to think that all I've ever played for is just fun   I suck at marketing and promotion..
14070,sadness,woo hoo its friday!! ....wait.... i have to work at the cleaners tomorrow.
9455,sadness,an ultimatum is an ultimatum no matter how you dress it up.  and that sucks.
12994,sadness,I hate watchn things that make me sad n wana cry
36169,sadness,@dcal44 Been meaning to email you for months. Your pre-reunion party must be coming up soon. Really wish I could be there. &gt;140 char soon
