,sentiment,content
32878,surprise,getting back from smackdown/ecw show
23001,surprise,omg himym! one of the best shows on earth
1687,surprise,my stupid msn wont sign in
23611,surprise,@rscheuer OK looking forward to that
23509,surprise,"@avataraang awww ) where'd you get that? hugh is so thin. no traces of being wolverine yet. btw, who's that other guy besides RDJ?"
14857,surprise,I think I may have just lost my job... FML
25058,surprise,"@foxykaty haha, its cos one of your 'tweets' was smile smile smile, so i quoted the boys in reply"
20914,surprise,@crustydolphin Journey!? Wow... u just became cooler.  hehe... (is that possible!?)
35846,surprise,"@jo_locanawan: sure! Of course i'll pray for her too. Thank you, jo  send my warm regards to ur mom.: @jo_loc... http://bit.ly/Beih5"
13781,surprise,@StefiBeautifulO I know.  There's no reason for any of that.
35835,surprise,"@jakobo A mocha at 12:30am? My, youï¿½re brave"
23650,surprise,@grekwood laze about ! It's. The bank holiday law
32622,surprise,@Belly9Maternity tooth fairy is coming to ur house tonight.
19754,surprise,@TheNewBradie is that teh part where hes liek feeling the girl. i feel sooo soooory for her
35311,surprise,"@yuyaymimi Okay, make sure he's alright kk? Cuidalo. Let him know he's a got friend in us aha.."
6556,surprise,"@catashton I got my film developed at asda, half of them are just gray!! And some have a black box on the top half  why?"
12610,surprise,ofcourse they wait until the last minute to run an experiment at work...that I have to supervise. aka i dont get to leave work on time.
32276,surprise,The hair looks sicckkkk.  Happy mothers day to all the mothers!
14063,surprise,"@JSNorwood oh, are we not doing that anymore?"
39339,surprise,@simonusher a bit too early for me and wanting to have nice lunch too... have a good time
17445,surprise,Awe...man...i missed registration 4 #flashcamp
30067,surprise,"says good morning everyone! Once again, a happy mother's day to all the mothers out there!  I hope you all h... http://plurk.com/p/stq3f"
17423,surprise,@LightAesthetic  what about sauce? Huh? I'm going to california tomorrow morning
1610,surprise,"@deezeen I know, pero available na yata eh. Sa Singapore, though!"
35538,surprise,"#web20 .#prologue - Modern Liberalism, Misconstrued (2nd 1/2 of Bible  -- &quot;Christ -- without the Crucifiction&quot;  Abstraction w/o 'Skin'"
1393,surprise,"@Potato_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!"
39563,surprise,"@ksymmonds @lcaller Sorry to have missed it. Yes, I'm a lazy bastard  Up, but still not dressed"
37088,surprise,@RastaBeanZ yes sir i sure did.
3648,surprise,"Acquiring a CentOS live CD, now where did I put my memory stick, I would like to boot from that. I wonder if I left it at home"
13227,surprise,@casmonaco you can still stay if you want to!
30574,surprise,@1027KIISFM REALLY?  COOL!
2606,surprise,@sebchew YoYo door nazis refused me entry on account of no ID  gutted! Heard it was a good night tho.. Next time I'll come prepared!
28864,surprise,@Jennettemccurdy http://twitpic.com/4uy8l - LOL  why are they drumming there?
4411,surprise,@asheleybg That's actually not too far from the truth
1980,surprise,So it's Friday... I have to keep reminding myself since every day seems the same
30355,surprise,@sfoak I would LOVE to be the dark princess of the PCI evil empire.... oh wait! That would make me an auditor again!
26371,surprise,@jabula Thanks  Give it 5 stars!!11
24271,surprise,Alexia has clogged up twitter...... again.... so I thought I'd post a tweet. Um... Just had a shower!!  Now I will have a drink! Teehee...
29674,surprise,"what? you thought I did it all for mom of the year award? nope, tad bit more selfish than that:"
33889,surprise,Omg. Its 1:47 am and Kim Possible is on Disney Channel right now. I am glued to the screen
31334,surprise,whoops...  not  in my last tweet
18550,surprise,Ok so Jeff looks like he has a black eye!!
29485,surprise,@toxiccupcakeCxC LOL have whoopi? Who are u Chuck Woolery?
11519,surprise,"Omg I just woke up after only sleeping for 3hrs, and my arm is just aching... It hurts so bad"
30414,surprise,@AmbDuckett should be me
5782,surprise,Geoff posted a boo: Coming Home From Tenerife Boo  http://boo.fm/b25651
29635,surprise,"Gusying up for  dinner, Bourbon &amp; Branch, Zeitgeist and surprise party for Taylor!   Shh..."
10045,surprise,i had a dream that i was going to my graduation &amp; i started crying...then i went home to take a nap &amp; missed it...then a bee stung me...
31930,surprise,headed into venue.  bbl
2756,surprise,Arghhh...my korean dvd can't see..I need to laugh..
19453,surprise,love to but  already got plan  going to queen mary !
23806,surprise,"My new design portfolio is finally on the web: http://www.designia.nl - Still needs some tweaking on the details but it's ok for now,"
17138,surprise,@tracecyrus plz dont fall in love with tokyo and never come home
3704,surprise,Omg its so gross out. no  relays tonight!
14466,surprise,"Holy cow! Archie Andrews finally marries Veronica Lodge.This is not what I thought will eventually happen in my 6th grade  Awww...bad, bad"
25370,surprise,"@Hyperopia afternoon! u've got a new pic, nice specs"
6765,surprise,@francecino its alright babes &gt;&lt; boo. im gonna leave agaiiiiin
8724,surprise,@calamitylill Can you send out letters/emails to clients to remind them you're there?
23382,surprise,I'm on Twitter now... how cool am I? and now let's go to McDo
36323,surprise,@krazyfrog I got me to watch it.  Recommend some other kickass shows too. Phast!
19054,surprise,Wow what a storm we just had!!! Now no power
19363,surprise,i lost a follower
30287,surprise,Kudai a Pop Rock band from Chile is the last one taking the stage tonight.
20001,surprise,please ignore cheesey music
12185,surprise,@MishGoddess not but I went to his page and it made me hungry
2002,surprise,Owww I'm aching alll over!!
26868,surprise,wowww!! havent twitter in like FOREVER!! all done with SAT! Finally! soo happy!  i think i did terribly but who cares! ITS DONE! lol
24296,surprise,"@tsarnick Yeah, you better be sorry! I can't believe you, kiss my sass!!!"
5497,surprise,"Energy steadily increasing, thankfully, but the cough isn't going away."
3338,surprise,omg. cat had a hairball. awake now.
1521,surprise,looks like my ION-based mini-itx board won't ship until mid-June now at the earliest
13103,surprise,"@masqueradetitan omg! is it mine? omg that's so gross, I'm so sorry! I TOTALLY forgot about it until JUST now!"
16112,surprise,Why does it matter who marries who as long as youre happy....i find it so wrong to say ok u two can marry but you cant
