,sentiment,content
8058,worry,@davegiumara yeah the weather ruined my plans too  i was gonna beach it up as well
6781,worry,@RachellT342 ugh... I know the economy is depressing...
986,worry,Phone will die soon. What to do now? Oh no!
4651,worry,@8short_stack8 mady were did u go?  truck did u run away?
18224,worry,@saamanthajaane :o exams. YUCK    that will be hectic!
1987,worry,i wish i had more chicken wings
13602,worry,Whaaaat a strong rain just came over us here in Santa Clara. I wish I could sleep but I got to attend to an important meeting
6848,worry,@diamondhead94 oh the noon? I don't know if I can make that one...I only get 30 min for lunch
8902,worry,@Jtabzz Sorrry  I'm ready to leave.
7434,worry,@Vasilicious Did you get your free chocolate?!? I still haven't gotten my email.
13327,worry,"Jay Leno's LAST NIGHT..Jay, you will be missed"
9770,worry,feel. sick. too. much. cheese. on. toast.
23522,worry,"@shakeyz09 so I take it, it wasn't the best weekend?"
12858,worry,"four shots of novacaine in my mouth  my right cheek is totally numb, booo."
18544,worry,"lied last weekend when she said she wouldn't get upset, just an FYI."
21278,worry,@tommcfly could you post a link to the internet version of the times so that I can read it pllleeeaaassseeeeee!!!!
950,worry,Playn madden with austin. Im going to miss him..
18161,worry,My tweetdeck won't pull up.
21520,worry,"english p1 done.  i refuse to countdown, it makes me sad. off to shower and take a nap..."
5633,worry,"@KarenEJones -dont know if u herd but queensland is havin it bad they have floods and in this weather, i want to help but i cant"
15949,worry,"@Argyle_SocksO_o: I'm sorry, Shannon."
6168,worry,Guess I'll be running in a little bit. Accidentally fell asleep
22103,worry,"@fajarjasmin i'm a huge fan of Take That since i was a baby.. Yeah, 6 months really feels like 5 months."
35476,worry,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on"
13709,worry,"ouch, my back. I'm sick of having a pamela anderson esque chest"
38199,worry,"@ilhongy if i can buy sleep for you, i will... that's what you need!"
28701,worry,@jeffpower What are you reading?
9974,worry,"So there aren't anymore exams, but there is only 3 days left. I've just now relized this is a bad thing.  And a good thing. I dont know."
16121,worry,MY BEST FRIEND IN THE FUCKING WORLD IS MOVING AHHHHHHHHHHH wat am i 2 do im not a happy camper
10518,worry,About to get shot! Ow!
31327,worry,@mrskutcher http://twitpic.com/4w9zb - must... stick.. my... thumb.. in .. chin... dimple!! lol  my hubby has one lol  but his is un ...
32053,worry,@carlito2009 haha that's always a good jam
157,worry,oh men!!!!!!......I really can't see my face........c'mon guys!!!
666,worry,"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight"
34222,worry,@skooter88 me neither at first...but u gotta go thru somethin first to get there lmao...i almost burnt my house down and that set me str8
11793,worry,It rains and it sucks so much because it's the second day in a row
3499,worry,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why can't I have more? Lame.
12468,worry,the weekend is about to begin! Got an idea for a project that I think would be cool -- just not sure I've got the time for it right now.
26238,worry,@WirelessWoman yes but 75% are on the wrong wireless plan
9749,worry,"iLook struggles to make Outlook more social http://bit.ly/JjUdF looks interesting, no Twitter support?"
3573,worry,"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?"
129,worry,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
23439,worry,hopefully today will work in our favor
100,worry,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
16932,worry,"hey Tweeties, my auntie jus got n a bad car accident...pls keep her yall prayers  ...thanx"
2031,worry,Whyyy am I still awake when I have to work at 8?! This is not good
13123,worry,"What to do this weekend, what to do. Don't think I'll be making it to Michigan for The Wonder Years."
16846,worry,"Been sick all week and still not feeling so well, can't go to Lena's cook-out  Gunna spend some time with the fam!"
12647,worry,Aww Holly Steel ... Dont cry
13828,worry,#bgt It's a shame that the Dreambears won't get through
1493,worry,"@yellowbag Hmmm, should have looked at it a little more methinks"
3243,worry,@andymakesurandy don't worry iPhone users are just as privileged  wish i were heading to the pool
18065,worry,is having trouble breathing through the pain..and now i have a damn fever...   (^~^)&lt;^&gt;
1655,worry,I have to goto work now ahhh kill me  my life isn't going the way I want it too atm. Ta ta kids x
477,worry,Showered in ice-cold water. Sweating now. Means one thing: I'm sick
5705,worry,"@JaredDouglas i'm still awake, coulnd't go back to sleep"
10607,worry,"@tim_weber I wrote a leadership essay abt its founder. The expansion didn't went well, tried to break in America. Lots of money burned."
3823,worry,No callback yet.
5647,worry,Gonna go and see my sister at Mount Sinai ....  she's there for at least another 24 hours.
30032,worry,http://twitpic.com/4w70j - Left: This is your brain. Right: This is your brain on drugs.
3982,worry,@HeathersNotBSC No.  I was thinking just before how much I miss my T-Dub.
35589,worry,@dagadong  probably why he's still married to Joan perhaps?
16853,worry,Please read my blog http://amandallynn.blogspot.com/ I'm not having the best day
11878,worry,Looks like no diamond ball for me
11085,worry,@Kasey79 I didnt get his  tweet
9172,worry,@c0v89 i dunno..tipsy gave EVERYTHING in the 1st set and still lost..not sure what mental state he was in - but the injury was bad timing
5461,worry,@cazp09  lol y? is it really gross??  i'm HUNGRY and theres nothin to have
7050,worry,Is asking that everyone please join me in praying for my mom she just got home from the ER and has to go see a heart doctor
36495,worry,"@holidayrooms Whoah, slow down, you're filling my screen! Maybe more effective if you spread tweets out?"
9555,worry,@tylercrex my power went out as well.. Except I'm in nor cal
18831,worry,"@torie007 yeah, and now you live in the 'hood! I never would have thunk it  What's up with these shootings in Belmont Shore?? Sheesh."
39040,worry,@TMJP actually i would prefer you not check me out .....
32001,worry,is on air
21768,worry,@zhayrar whoa rad ! coffee makes me stay up all night
12929,worry,once again i've spend the day studying. SO BORED of studying but i still have 3 chapters to go
13373,worry,@EmeraldAshlee yea he said brooke's gonna come over to record today!  @CHANiCEDEVONNE!
13491,worry,Headache
29465,worry,New phone pwns
22439,worry,Lots of money  some DVDs and this cute thing!!! http://twitpic.com/4jble
17821,worry,going through security already miss my baby.
12404,worry,omfg. one of the worst days ever!
38113,worry,Spend a great time with family and friends. Thanks you guys
5434,worry,"&quot;Isn't she lovely? Isn't she beautiful?&quot; Sorry Stevie, you're not really in a position to make that judgement  #steviewonder"
3347,worry,My paradise fly catchers abandoned their nest....  they are starting again... but it's gonna b tough
4973,worry,nomatter how much i sleep am still tired  either going to sleep early or late....
4647,worry,Going To the dentist
10343,worry,Has research guilt as I spent the day feeling sorry for myself with a cold.... will need to spend significant time coding this weekend
16834,worry,"wow, almost got involved in this big fight at school!  ah, but anyways text me? going to causin's house, plus game crazy."
33349,worry,@FokusChicagoKid Ah....okay
18113,worry,@yes_i_am_jes YAY! congrats! i'm afraid to check my grades!
11464,worry,Only one more day left of Ramona  I will miss the cast soo much!
18651,worry,Grass fed beef burgers with sauteed mushrooms and cheddar on wheat buns along with a salad. Yum. Poor Kim still isn't feeling well
9254,worry,"feeling sorry for Ian. He broke up with his gf, i feel reali sad cos he feels down!  wish i can give him a huge hug right now"
16907,worry,@Audioprincess  Nice. I just have water haha. Lucky you! I still have most of my exams to go  Yeah I'm okay just worried about exams :/
17044,worry,"i like how, no matter how much fun i'm having, i need a hug, a bowl of ramen, and a comfy blanket as soon as i get home."
2755,worry,new flat heads
14479,worry,"I don't remember the last movie I saw in the theatre, and that makes me really sad"
10495,worry,storming outside
1303,worry,very very bad headache that is getting worse by the minute not better.
7876,worry,im @ the eye doctors &amp; had to bring trinity with me cause my mom fell down the stairs today &amp; broke her toe. ugh
18354,worry,@greentm what happened yesterday? but phone calls with unwell parents - yeah .. know how that goes ...  .. i have two of them now ... meh
32406,worry,@thnkhappythghts HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?
36730,worry,Another loser: Crap. I have lost the game more times today than any other day in history.  lost.. http://tinyurl.com/qa4cdv (@ilostthe ...
9413,worry,trying to find some friends and not having any luck
17700,worry,peeling so much!!   ..I feel so bad
12255,worry,ahhh i think my legs are burnt  they hurt
1887,worry,t'internet on blackberry fooked so no checking of the tweets and whether phill has taken up my request
29404,worry,"@coopertracy   Sorry, we'll try to keep it down."
6827,worry,"feeling better, still coughing. : / not moving on yet. its impossible."
35499,worry,@SheriRocks What are u doin Sheri?!
35449,worry,"Bye. Tekzilla, then revision."
3424,worry,"absolutely boiling! Got factor 50+ on! Must not turn orange, must not look like oompa lumpa... My left shoulder is burnt from yesterday"
9908,worry,"my laptop broke, who wants to help a girl out and take me to best buy this weekend. please ill feed u."
38971,worry,"G*morning! Rain, rain and more rain.. ! But I don't care so much"
9764,worry,@berrylies I am so sorry.
20078,worry,Drinkin' Chai tea and not sleeping.. and checkin' out some cool peeps
18333,worry,"Can't stop coughing, feel like I might have bronchitis again, no fun"
31437,worry,"Texas Chainsaw Massacre: The Next Generation. Tis nothing, but pure insanity. Can I have the title of Queen of watching bad horror films?"
7575,worry,"Again, No P.F. Changs for lunch    Booooo"
15578,worry,wtf at facebook spam saying that my DAD is my secret admirer
25785,worry,"i want you to text me first everyday, not me"
37783,worry,"i love pink, and i don't care. today i shall not tweet as i have to hardcore work with jamie! have a nice day everyoneeeee  xxxxxxloser"
20311,worry,@snedwan Mooooooooornin'  How are you? Are your legs ok?
11376,worry,"@shopronson I have placed an order with the HOH people, but they are taking forever to process it!  Cant wait to start selling it. xo"
31217,worry,bored.. almost mothers day
14560,worry,So jealous im not at asylum right now
13153,worry,euhm i'm french and i don't really understand English . poo..
14786,worry,The random article generator on Wikipedia led me to: http://bit.ly/EMtcw which I remember playing before. I never got past the 1st level
15610,worry,Oh man now it's raining...seatbelt now buckled...thanks bates for wishing I have a blow out and flip and burn up
16669,worry,@Kreeoni I can't follow that one
28813,worry,@CHAUNDON SON! WTF?? She just bit holes in the damn bread!!! Who does that?? Why has God forsaken me?? why?
31938,worry,"@eclip5e Good lord, man.   I recommend the Dark &amp; Stormy at Casablanca."
14936,worry,@Remy_Foster Still not working
22175,worry,@Nikkiko Congrats on your new phone!
7392,worry,50 is sooo much better than 65  my biology score's so bad.
27771,worry,"@Cheaty For sure you should continue to Tweet WHILE on conf call, WHILE worrying about cat and bee."
10924,worry,"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me"
21248,worry,"@mitchschroeder Omedetou!! That's truly exciting, but expected, news! Decisions decisions  Please let me know as soon as you 'know'?"
18702,worry,@moozmum aw i'm sorry  i was rooting for you just to let you know!
11642,worry,Babysitting in the sun and heat. I'm getting lots of freckles
5799,worry,Got an appt. w/ the doctor at 4pm today to look at these &quot;bites&quot;. Hoping it isn't an infection. I need more powerful anti-itch cream.
6872,worry,I think at this rate.. Ill be in class until 4... Sigh.
1341,worry,boo  rabbits pisses on people you know that
24075,worry,Goodmorning world
13925,worry,Traffic is horrific on 695..I jus wanna gt my dog
19069,worry,officially has pink eye.
569,worry,gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?
14913,worry,Nooooo! Its going to rain on my birthday
8770,worry,"I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal."
29772,worry,@jerrytaft Can you talk to my hubby @actonm and convince him that that's a great present for ALL mommies???
18024,worry,@iheartmc I'm sorry sister!!  just think you get to see your man in a bit! That should make you happy. You guys should call me tonigh
32466,worry,@julieannee sup betch
39231,worry,sorry i havent tweeted in a while- i was on holiday then was ill but im better now
10688,worry,"Today I'm sad, my cat of 10 years has just stopped eating, and is very sick."
17759,worry,mom is on her way home  but yay for mother son days! she even bought some new shoes. haha.
15281,worry,Just as quickly people arrived people have gone  Still hungry must find food!
16033,worry,"Traffic along McArthur!  okay, keeping my eyes on the road and my hands on the phone, err, steering wheel."
14943,worry,So broken now
19972,worry,"I have test tomorrow but i dont study, then i go very bad"
15708,worry,omg!! i have so many finals to study for !!! i so freaked out that im gona fail
16754,worry,twitter is acting weird
1977,worry,God the weather in London is ammmmazing! Yet I'm on a train half the day
11764,worry,My knee is killing me
6103,worry,Don't you just hate when you are craving something to eat and then you go get it and end up DISAPPOINTED? Ugh.....
6864,worry,Is getting upset at work cus bindz and j are being bullies  and they won't let me go duty free shopping!
19693,worry,i'm going to kill myself T_T . i wasted hundreds of download and realised i got the wrong one
14425,worry,I was expecting the sun to come out today. I guess that's not happening.
33035,worry,Happy 11th  I'm going to sleep now lolz
28444,worry,@The_Gov hi gov!! How are you?
19004,worry,@BullyOSullivan sorry to hear that.
36165,worry,Oh thank god!  so sad that I'm this happy.
7047,worry,wow the last hour of twittering that I've been doing has yet to be sent over to twitter..  guys bare w me...
8492,worry,@P33ZY  My Power was cut off  thats where i went
11402,worry,@melzygirl you have no interview today?
3826,worry,working wearing sunglasses...my eyes are bleeding!
7102,worry,@thomasfiss we miss you
13747,worry,Weekend looks sloppy  Looking forward to a great week with great customers!
12500,worry,shout out to all the people goin to prom &amp; iish &quot;damn i kinda miss high school&quot;
37,worry,I need skott right now
19114,worry,@mileycyrus my cousin is in jail for shoplifting and drugs she is 16! im upset please help me feel better
32440,worry,@bhl1 I hope so! My sister lives there!
2835,worry,gawd the rain is too strong
11083,worry,now feels like a dork for using the wrong Ping group
18869,worry,Why isnt my internet working
4211,worry,@cccaaasss what's wrong?
1331,worry,looks like the eprocurement e-mail address from office mate is blacklisted by IT here.. asking them to whitelist now.
6194,worry,"the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ..."
29909,worry,@lachrist5067 72-65 Cavs! The score is and was! LOL
28776,worry,"Recovering from my crazy family. I love them, but they ain't got it all   I only see em a couple of times a year, so I guess I can deal."
19983,worry,Can't find any pictures  !!!
31183,worry,@wordcharmer pffftt! You know how I like to stay busy!  I'm Awesome (and sober...dang)! How are you??
10904,worry,gah. how am i supposed to study when all i do is sneeze and get even more tired.
22407,worry,@Jen_christie keep the faith it'll be over soon
7430,worry,I can't believe I thought I had a morning shift today and told Alex that I could take him to the airport.  His flight is during my shift!
571,worry,I'm bummed that I can't wear my sweet Nike kicks to work.
18820,worry,just woke up still fukin sick
18584,worry,Woa NOBODY is inside the movie theater... Its termenator ppl shud be in here... Scary
8853,worry,1st day of work today was a bit tiring but ok lol now onto college work
12215,worry,"fire and rain by james taylor fits the style i need for my SA audition perfectly, but i can't find a karaoke track in a high enough key"
16856,worry,"@Saraa_xD Si  pero parece que las personas de facebook no estan de acuerdo  (that was probably all wrong, but I tried...)"
335,worry,Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue...
19936,worry,@Media_Molecule play my shitty levels :-D I got a bit too ambitious on one and broke the thermometer  so it only got half done!
4968,worry,Good mornin &amp; no u tol twitter LOL but I knew &amp; called u yesterday 2 see if u were okay but no answer  how r u feelin babe?
6106,worry,@lauralalahh I'm so sorry!! I hope she's ok  xxx
9191,worry,@JordanOhlin what happened to winston?
19160,worry,I have nacho chips...but no cheese.
13278,worry,my stomach is bleh!
30483,worry,"@TrueBlue9 Venus is my fav character, too! LOL I think b/c she's strong, successful, and beautiful."
7894,worry,ITS RAINING ITS POURING.............where is my spooning  buddy
33968,worry,"@DMBwine yes - I'm having my usual battle with my bed. Bed is winning, so far  How are you chick?"
3415,worry,@EPMorgan I can't even do that  not good!!
9145,worry,is putting on her &quot;suit&quot; (&amp;dont mean jeans&amp;T)&amp;Heading over 2 T-town 2 deal w/ family emergency PLEZ PRAY 4Us  BE back by 630P God willing!
23475,worry,"@buglegirl Thanks! I'm not quite ready for a marathon yet -- if at all, not this year anyway."
18928,worry,i dont noe what to eat for breakfast hmmmmmmm im so hungry
12903,worry,@noisemaker_ aww thats too bad you lost it though
20515,worry,"@Aquilaquail Lol - I could have written that - would be good to have 2 Mondays this week, then I might catch up x"
9273,worry,$4 lonestar pitchers at @mugshotsaustin ?  If only I wasn't still recovering from last weekend's bout of irresponsible gluten consumption
37618,worry,I'd rather sit on a bench with a friendly psychiatric patient than go a party with some &quot;cool&quot; person
37723,worry,Number 999. My next tweet must be something really special.
18890,worry,Working too hard.    At least graduations are over.
1717,worry,"Morning. Panic. Clicked a link and opened up my browser. Firefox, what have you done with all my saved tabs??? Gone! That'll learn me..."
23424,worry,@SWIFTas omg evie. we have to do our plan for hot 30 tomorrow night
8293,worry,"I'm just to far from where you are, I wanna go home..."
18124,worry,Poor Johnny is sick   Looks like he'll be going to the vet tomorrow
7700,worry,Ichigo has been good at Ping&amp;pooping outside but not used to the fact he doesn't have his sister  lonely puppy
14309,worry,@BrandonJhon something we all need sometime
25690,worry,@justinlevy I know! I'm so slow its horrible. DON'T TELL ON ME!
14957,worry,"I wanna go home, but I can't cause the customers won't leave... And my boss won't let me leave either"
8156,worry,http://twitpic.com/66yb9 Ozzy back from the vet. Not feeling well. He looks so sad.    Possible UTI. Results tomorrow.
9357,worry,Never made it to the gym so will be doing my blowout sans thong wearing company. Phew! But bummer on missing workout
27009,worry,@MysticFearie I want chocolate!
18269,worry,fighting a cold.
23449,worry,hmm... now what to do today... i suppose i could revise for my science test :/ or i could just eat cookies and watch films
19096,worry,Feeling kinda nervous when there was a virus found on the computer
19918,worry,I really wish i would hear from josh
28126,worry,found rollo! and got happy  hmmm.. guess i really do need to be inserted back into the matrix 0_o\
19561,worry,@funkylovin  on your ani?  sorry
9430,worry,"Damn it, the guys aren't at #comet09  I hope they win though"
2922,worry,is scanning the pics all over again ..
34270,worry,tried  to sleep but i cant bout 2 call tisha
12489,worry,is gaining weight.  rather
13655,worry,@JustPlainMeg im sorry  i wish that i was there instead (it would give you a good excuse to get away from him) hehe...i love you &lt;3
10916,worry,Last free Friday.
6172,worry,@IconsRobg My Denny's shut down in the winter.  I have to do 50 miles to get to one now.
21819,worry,"just arrived at @eurodjangocon, on about 150 fellows i can't see a girl!"
2010,worry,"feels sorry every time I'm printing out, I use like 200 new papers"
26198,worry,@Cranialstrain It often pays to wait
22184,worry,Yay! I just fixed my blog's CSS problem that messed up the design
3264,worry,Layin in bed awake. Txtin my girl in vegas. Wishin I didn't have to work and I was w her
5850,worry,@craftyasparagus And.. it's raining here
10940,worry,@bethanyNYC SO jealous...see if you can get some Dallas concert tix out of her...it's all sold out!!
11971,worry,SCHOOL IS FINALLY OVER NO MORE TEST OR WORK YES!!!!!!! But im gunna miss alot of ppl
28510,worry,@rocketheartx YES SHE WANTS A COOKIE. SO DO I. ESPECIALLY THAT ONE THAT ARCHIE GOT FROM COOKIE ) ... RP?  mark the date
12103,worry,Ok. Over exagerrated. Twitter is not to bad.... I guess.
8041,worry,@charlimillions where r u i? Am wearing a black polkadot dress n green cardigan i cant find u
13510,worry,"my cat just fell off my bed lmfao, bless her. she got a fright  xx"
10462,worry,everybody is leaving work early except me
14085,worry,Nnnnoooooo!!!! Just learned we've got a frost warning for tonight!
29840,worry,"@qwe4423 ?. Pick up that, as fast you can!"
1675,worry,I just really want to sleep butmy eyes won't let me
14126,worry,is sick and it doesn't seem like i'm getting better
610,worry,Cannot sleep. 2+ hours of tossing and turning.
19147,worry,Jane is really sad because she probably won't get perfect on tonight's quiz without the missing article. Should've asked someone for it.
3155,worry,it's almost comforting to know all LDN people not working on this beautiful day will get skin cancer.... I want out of this office now
